Name,UM,
Air-popped popcorn,serv,
Almond milk,serv,
Almonds,serv,
Anchovies,serv,
Apple,pc,
Apple cider,serv,
Apple pie,serv,
Apple sauce,tsp,
Apricot,pc,
Arancini,pc,
Artichoke,pc,
Arugula,serv,
Asparagus,serv,
Aubergine,serv,
Avocado,pc,
Avocado toast,serv,
Ayran,cup,
BLT sandwich,pc,
Bacon,pc,
Bagel,pc,
Baguette,slice,
Baklava,pc,
Banana,pc,
Banana bread,slice,
Banana split,serv,
Barbecue ribs,serv,
Beans,serv,
Beef,serv,
Beef gravy,serv,
Beef Stroganoff,serv,
Beets,serv,
Bell pepper,pc,
Berries,serv,
Birria,serv,mexican
Biryani,serv,
Biscotti,pc,
Biscuits,pc,
Biscuits ‘n’ gravy,serv,
Blackberry,serv,
Blackcurrant,serv,
Blueberries,serv,
Bok choy,serv,
Bratwurst,pc,
Bread,slice,
Broccoli,serv,
Brownies,pc,
Brussels sprouts,serv,
Buffalo,serv,
Buffalo wings,serv,
Bulgur,serv,
Burrito,serv,mexican
Butter,serv,
Butter cookies,serv,
Buttermilk,serv,
Butterscotch,pc,
Cabbage,serv,
Caesar salad,serv,
Cake,slice,
Calamari,serv,
Calzone,serv,
Candy,serv,
Cannoli,pc,
Cantaloupe,serv,
Caramel,serv,
Carbonara,serv,
Carnitas,pc,mexican
Carrot cake,serv,
Carrot,serv,
Cashew,serv,
Casserole,serv,
Cassoulet,serv,
Cauliflower,serv,
Caviar,serv,
Celery,serv,
Cereals,serv,
Ceviche,serv,
Cheddar,slice,
Cheese,serv,
Cheese pie,slice,
Cheese sandwich,pc,
Cheese sticks,serv,
Cheesecake,serv,
Cheeseburger,pc,
Cherry,serv,
Chestnuts,serv,
Chia seeds,serv,
Chicken,serv,
Chicken Alfredo,serv,
Chicken breast,serv,
Chicken wings,serv,
Chickpeas,serv,
Chiles En Nogada,serv,mexican
Chili,serv,mexican
Chili con carne,serv,mexican
Chips,serv,
Chocolate,pc,
Chocolate bar,pc,
Chocolate truffle,pc,
Chorizo,serv,mexican
Churros,serv,mexican
Cinnamon roll,pc,
Clam chowder,serv,
Clams,serv,
Clementine,serv,
Club sandwich,pc,
Cobb salad,serv,
Coconut,serv,
Cookie,pc,
Corn,serv,
Corn on the cob,pc,
Corned beef,serv,
Cottage cheese,serv,
Couscous,serv,
Crab,serv,
Crab cakes,pc,
Cracker,pc,
Cranberries,serv,
Crayfish,serv,
Cream,serv,
Cream cheese,tsp,
Crepes,pc,
Croissant,pc,
Croque madame,pc,
Croque monsieur,pc,
Crème caramel,serv,
Crumble,serv,
Cucumber,serv,
Cupcake,pc,
Cured ham,serv,
Curry,serv,
Daal,serv,
Danish cookie,pc,
Danish pastry,pc,
Dark chocolate,pc,
Deli meat,serv,
Deli sandwich,pc,
Dessert,serv,
Deviled crab,serv,
Deviled eggs,pc,
Dips,tsp,
Donut,pc,
Dosa,pc,
Dragonfruit,pc,
Dried fruit,gr,
Duck,serv,
Duck confit,serv,
Dulce de leche,serv,
Dumpling soup,serv,
Dumpling,pc,
Durian,pc,
Eclair,pc,
Edamame,serv,
Eggnog,cup,
Eggplant,serv,
Eggplant parmesan,serv,
Egg,pc,
Eggs Benedict,serv,
Eggs Florentine,serv,
Eggs in purgatory,serv,
Elote (grilled corn),pc,mexican
Empanadas,serv,mexican
Enchilada,serv,mexican
Endive,serv,
Energy balls,pc,
Energy bar,pc,
English muffins,pc,
Escargot,serv,
Escarole,serv,
Fajitas,serv,mexican
Falafel,serv,
Fennel,serv,
Fettuccine Alfredo,serv,
Fig,pc,
Filet mignon,serv,
Fish,serv,
Fish and chips,serv,
Fish tacos,serv,mexican
Flan,serv,
Flat bread,pc,
Flaxseeds,tsp,
Fondue,serv,
Fortune cookie,pc,
French fries,serv,
French toast,pc,
Fried chicken,serv,
Fried dough,serv,
Fried fish,serv,
Fried ice cream,serv,
Fried pickles,serv,
Fried rice,serv,
Frittata,serv,
Fritters,serv,
Frozen yogurt,serv,
Fruit crisp,serv,
Fruit crumble,serv,
Fruit pie,slice,
Fruit salad,serv,
Fruit sorbet,cup,
Fruit tart,slice,
Fruit cake,slice,
Fudge,serv,
Funyuns,serv,
Garlic,pc,
Garlic bread,pc,
Gazpacho,serv,mexican
Gelato,cup,
Gingerbread,pc,
Gnocchi,serv,
Goji berries,cup,
Goose,serv,
Gorditas,pc,mexican
Goulash,serv,
Granola,pc,
Granola bar,pc,
Grapefruit,pc,
Grapes,serv,
Greek salad,serv,
Greek yogurt,cup,
Green beans,serv,
Green onions,serv,
Green smoothies,serv,
Grilled cheese,pc,
Guacamole,tbsp,mexican
Guava,pc,
Gummies,gr,
Habanero pepper,pc,mexican
Halva,slice,
Ham,slice,
Hamburger,serv,
Hamentashen,serv,
Hard cheese,slice,
Hard-boiled egg,pc,
Hazelnut milk,cup,
Hazelnuts,gr,
Heavy cream,cup,
Hemp milk,cup,
Hemp seeds,gr,
Herring,serv,
Honey,tsp,
Honey buns,pc,
Honeydew melon,slice,
Hoppers,serv,
Horseradish,pc,
Hot fudge sundae,serv,
Hotdog,pc,
Huevos rancheros,pc,mexican
Hummus,tbsp,
Ice Cream,cup,
Ice pops,pc,
Icing,serv,
Irish stew,serv,
Ischler Cookie,pc,
Jackfruit,pc,
Jalapeno pepper,pc,
Jambalaya rice,serv,
Jam,tsp,
Jellies,serv,
Jelly beans,pc,
Jerky,pc,
Kale,serv,
Kebab,serv,
Kettle corn,serv,
Key lime pie,serv,
Kielbasa,pc,
Kiwi,pc,
Kofta,pc,
Kombucha,serv,
Kumquat,pc,
Ladyfingers,pc,
Lamb,serv,
Lamb chops,serv,
Lasagna,serv,
Leeks,pc,
Lemon,slice,
Lemon curd,slice,
Lentil soup,serv,
Lentils,serv,
Lettuce,serv,
Licorice,pc,
Lime,slice,
Linzer cookie,pc,
Liver,serv,
Lobster,serv,
Lollipop,pc,
Lychee,pc,
Macadamia nuts,pc,
Macaroni,serv,
Macaroni and cheese,serv,
Macarons,pc,
Madeleines,pc,
Mandarin oranges ,pc,
Mango,pc,
Mansaf,serv,
Margherita pizza,slice,
Marmalade,tsp,
Marrow,serv,
Marshmallow,pc,
Marzipan,serv,
Mashed potatoes,serv,
Matzo ball soup,serv,
Matzo meal,serv,
Meat,serv,
Meatball,pc,
Meatloaf,serv,
Melba toast,pc,
Melon,slice,
Menudo,serv,mexican
Milk,cup,
Milkshake,cup,
Minced meat,serv,
Minestrone soup,serv,
Mints,pc,
Miso soup,serv,
Mixed nuts,serv,
Mochi,pc,
Mole,tbsp,mexican
Moussaka,serv,
Mozzarella sticks,pc,
Mozzarella,slice,
Muffin,pc,
Mushrooms,serv,
Mussels,serv,
Mutton,serv,
Naan bread,pc,
Nachos,serv,mexican
Nasi Goreng,serv,
Nectarine,pc,
Nettles,serv,
New York-style pizza,slice,
Non-fat yogurt,cup,
Non-fat cottage cheese,serv,
Non-fat milk,cup,
Noodles,serv,
Nougat,pc,
Nutella,tsp,
Nuts,serv,
Oat bar,pc,
Oat milk,cup,
Oatmeal,serv,
Oats,serv,
Octopus,serv,
Olive oil,tsp,
Olives,serv,
Omelette,serv,
Onion,serv,
Onion rings,serv,
Onion soup,serv,
Orange,pc,
Oreos,pc,
Osso buco,serv,
Oxtail soup,serv,
Oyster,serv,
Pad Thai,serv,
Pancakes,pc,
Paneer Tikka,serv,
Panna cotta,serv,
Papaya,pc,
Paprikash,serv,
Parfait,serv,
Parsnip,pc,
Passion fruit,pc,
Pasta,serv,
Pastrami,slice,
Pastry,pc,
Pavlova,pc,
Peach,pc,
Peanut butter,tsp,
Peanut butter cups,pc,
Peanuts,serv,
Pear,pc,
Peas,serv,
Pecan pie,slice,
Pecans,pc,
Peppermint bark,pc,
Pepperoni pizza,slice,
Pepper,pc,
