Name,UM,
Pop-corn soufflé à l’air,serv,
Lait d’amande,serv,
Amandes,serv,
Anchois,serv,
Pomme,pc,
Cidre (de pomme),serv,
Tarte aux pommes,serv,
Compote de pommes,tsp,
Abricot,pc,
Arancini,pc,
Artichaut,pc,
Roquette,serv,
Asperges,serv,
Aubergine,serv,
Avocat,pc,
Toast à l’avocat,serv,
Ayran,cup,
Sandwich BLT,pc,
Bacon,pc,
Bagel,pc,
Baguette,slice,
Baklava,pc,
Banane,pc,
Pain à la banane,slice,
Banana split,serv,
Côtes levées au barbecue,serv,
Haricots,serv,
Bœuf,serv,
Sauce au bœuf,serv,
Bœuf Stroganoff,serv,
Betteraves,serv,
Poivron,pc,
Baies,serv,
Birria,serv,mexican
Biryani,serv,
Biscotti,pc,
Biscuits,pc,
Biscuits et sauce,serv,
Mûre,serv,
Cassis,serv,
Myrtilles,serv,
Pak-choï,serv,
Bratwurst,pc,
Pain,slice,
Brocoli,serv,
Brownies,pc,
Choux de Bruxelles,serv,
Bison,serv,
Ailes de poulet Buffalo,serv,
Boulgour,serv,
Burrito,serv,mexican
Beurre,serv,
Biscuits au beurre,serv,
Babeurre,serv,
Caramel au beurre,pc,
Chou,serv,
Salade César,serv,
Gâteau,slice,
Calamars,serv,
Calzone,serv,
Bonbons,serv,
Cannoli,pc,
Cantaloup,serv,
Caramel,serv,
Carbonara,serv,
Carnitas,pc,mexican
Gâteau aux carottes,serv,
Carotte,serv,
Noix de cajou,serv,
Gratin,serv,
Cassoulet,serv,
Chou-fleur,serv,
Caviar,serv,
Céleri,serv,
Céréales,serv,
Ceviche,serv,
Cheddar,slice,
Fromage,serv,
Tarte au fromage,slice,
Sandwich au fromage,pc,
Bâtonnets de fromage,serv,
Gâteau au fromage,serv,
Hamburger au fromage,pc,
Cerise,serv,
Châtaignes,serv,
Graines de chia,serv,
Poulet,serv,
Poulet Alfredo,serv,
Blanc de poulet,serv,
Ailes de poulet,serv,
Pois chiches,serv,
Chiles en nogada,serv,mexican
Chili,serv,mexican
Chili con carne,serv,mexican
Chips,serv,
Chocolat,pc,
Tablette de chocolat,pc,
Truffe au chocolat,pc,
Chorizo,serv,mexican
Churros,serv,mexican
